datetime,acceleration_x,acceleration_y,acceleration_z,magnetic_x,magnetic_y,magnetic_z
2017-04-15T00:00:00Z,-944,-1379,-2513,3218,-2426,15958
2017-04-15T03:00:00Z,-946,-1390,-2516,3202,-2411,15992
2017-04-15T06:00:00Z,-944,-1387,-2517,3216,-2419,15987
2017-04-15T09:00:00Z,-949,-1384,-2521,3191,-2415,15976
2017-04-15T12:00:00Z,-949,-1383,-2522,3197,-2433,15989
2017-04-15T15:00:00Z,-946,-1386,-2523,3194,-2444,15993
2017-04-15T18:00:00Z,-939,-1385,-2522,3196,-2458,15999
2017-04-15T21:00:00Z,-944,-1384,-2521,3190,-2457,15981
2017-04-16T00:00:00Z,-950,-1382,-2529,3189,-2456,15988
2017-04-16T03:00:00Z,-948,-1385,-2536,3192,-2457,15982
2017-04-16T06:00:00Z,-945,-1383,-2532,3185,-2441,15991
2017-04-16T09:00:00Z,-957,-1382,-2530,3185,-2448,15972
2017-04-16T12:00:00Z,-951,-1384,-2538,3192,-2450,15990
2017-04-16T15:00:00Z,-948,-1385,-2535,3191,-2453,15972
2017-04-16T18:00:00Z,-956,-1395,-2530,3186,-2446,15981
2017-04-16T21:00:00Z,-952,-1380,-2537,3184,-2478,15962
2017-04-17T00:00:00Z,-954,-1389,-2537,3200,-2458,15973
2017-04-17T03:00:00Z,-948,-1390,-2539,3181,-2462,15960
2017-04-17T06:00:00Z,-420,-937,-2299,3056,-2527,15978
2017-04-17T09:00:00Z,-419,-938,-2311,3048,-2538,15964
2017-04-17T12:00:00Z,-415,-938,-2299,3048,-2532,15994
2017-04-17T15:00:00Z,-413,-932,-2306,3034,-2533,15989
2017-04-17T18:00:00Z,-424,-932,-2299,3055,-2528,15988
2017-04-17T21:00:00Z,-418,-938,-2300,3039,-2523,15989
2017-04-18T00:00:00Z,-418,-932,-2308,3041,-2537,15986
2017-04-18T03:00:00Z,-418,-936,-2303,3067,-2532,15976
2017-04-18T06:00:00Z,-2871,1304,6578,-4626,7981,-13821
2017-04-18T09:00:00Z,-2271,-3386,428,-16117,-1534,684
2017-04-18T12:00:00Z,2578,2558,1849,-10678,-1101,-12137
2017-04-18T15:00:00Z,2551,2552,1858,-10678,-1118,-12084
2017-04-18T18:00:00Z,2524,2528,1858,-10695,-1116,-12048
2017-04-18T21:00:00Z,2517,2515,1854,-10700,-1119,-12035
2017-04-19T00:00:00Z,2508,2520,1859,-10687,-1113,-12032
2017-04-19T03:00:00Z,2501,2512,1862,-10682,-1117,-12033
2017-04-19T06:00:00Z,1961,531,-2896,-5423,4146,-14397
2017-04-19T09:00:00Z,1957,539,-2892,-5447,4080,-14412
2017-04-19T12:00:00Z,2239,489,-2853,-5536,3476,-14541
2017-04-19T15:00:00Z,2250,494,-2849,-5596,3373,-14548
2017-04-19T18:00:00Z,2254,498,-2856,-5591,3365,-14561
2017-04-19T21:00:00Z,2265,481,-2804,-5650,3288,-14547
2017-04-20T00:00:00Z,2277,487,-2794,-5651,3301,-14537
2017-04-20T03:00:00Z,2273,488,-2795,-5644,3303,-14532
2017-04-20T06:00:00Z,2271,475,-2790,-5654,3291,-14532
2017-04-20T09:00:00Z,-556,-1597,3126,-1426,-15814,-4634
2017-04-20T12:00:00Z,-1796,1051,465,15385,-9274,3879
2017-04-20T15:00:00Z,315,205,-3222,-2855,3831,15715
2017-04-20T18:00:00Z,285,-1537,-3071,-3814,4483,15076
2017-04-20T21:00:00Z,1274,238,-3450,-2595,6690,14536
2017-04-21T00:00:00Z,1167,68,-3503,-2138,7405,14215
2017-04-21T03:00:00Z,1365,121,-3482,-1645,7408,14268
2017-04-21T06:00:00Z,933,-2433,-2279,-27,5892,15337
2017-04-21T09:00:00Z,1686,-773,-3209,-1200,10621,12380
2017-04-21T12:00:00Z,85,-33,-3220,-1831,4405,15617
2017-04-21T15:00:00Z,600,-547,-3326,-1813,9193,13397
2017-04-21T18:00:00Z,171,-493,-3302,-2517,6289,14745
2017-04-21T21:00:00Z,-195,-602,-3154,-1,7735,14275
2017-04-22T00:00:00Z,-220,-474,-3160,356,7342,14462
2017-04-22T03:00:00Z,571,-333,-3389,-2903,7486,14125
2017-04-22T06:00:00Z,11,-1983,-2664,-478,4727,15590
2017-04-22T09:00:00Z,-77,-199,-3171,887,7344,15581
2017-04-22T12:00:00Z,1368,-2563,-2082,559,7853,14493
2017-04-22T15:00:00Z,2083,-982,-2940,-411,9838,13155
2017-04-22T18:00:00Z,571,-3005,-1661,-185,10106,12894
2017-04-22T21:00:00Z,334,50,-3333,-2942,4462,15350
2017-04-23T00:00:00Z,320,191,-3313,722,6383,14995
2017-04-23T03:00:00Z,386,-166,-3347,-2391,5916,14721
2017-04-23T06:00:00Z,-326,-709,-3016,-624,1015,16707
2017-04-23T09:00:00Z,114,-1329,-2997,157,164,16379
2017-04-23T12:00:00Z,2127,-614,-2983,3241,-2356,17513
2017-04-23T15:00:00Z,411,-2098,-2573,1575,3534,15955
2017-04-23T18:00:00Z,-707,-1909,-2296,1760,8586,13725
2017-04-23T21:00:00Z,2555,-1255,-2580,-2162,5383,15257
2017-04-24T00:00:00Z,2006,-1607,-2720,1166,6247,15069
2017-04-24T03:00:00Z,2524,-954,-2748,-1437,5814,15177
2017-04-24T06:00:00Z,2143,158,-3012,-1470,3607,16133
2017-04-24T09:00:00Z,2283,-519,-2810,-2627,8424,14026
2017-04-24T12:00:00Z,-735,-458,-2637,1898,2791,16422
2017-04-24T15:00:00Z,-581,-172,-2743,1589,3925,16229
2017-04-24T18:00:00Z,-502,81,-2986,936,3140,15906
2017-04-24T21:00:00Z,2452,-1140,-2692,-1154,7298,14576
2017-04-25T00:00:00Z,1865,-2028,-2478,1390,7693,14360
2017-04-25T03:00:00Z,2405,-1328,-2639,-843,7254,14622
2017-04-25T06:00:00Z,2077,-1093,-2948,574,9586,14272
2017-04-25T09:00:00Z,2556,381,-2771,-4319,-1607,15842
