datetime,acceleration_x,acceleration_y,acceleration_z,magnetic_x,magnetic_y,magnetic_z
2017-04-15T00:00:00Z,302,-959,-3214,3234,-2683,16286
2017-04-15T03:00:00Z,313,-963,-3215,3213,-2684,16249
2017-04-15T06:00:00Z,316,-957,-3222,3217,-2699,16249
2017-04-15T09:00:00Z,312,-961,-3225,3221,-2694,16253
2017-04-15T12:00:00Z,314,-957,-3214,3232,-2722,16269
2017-04-15T15:00:00Z,315,-961,-3215,3227,-2719,16247
2017-04-15T18:00:00Z,317,-950,-3212,3216,-2710,16262
2017-04-15T21:00:00Z,317,-949,-3215,3214,-2728,16255
2017-04-16T00:00:00Z,312,-954,-3213,3227,-2727,16253
2017-04-16T03:00:00Z,310,-956,-3224,3225,-2730,16257
2017-04-16T06:00:00Z,308,-959,-3224,3211,-2721,16244
2017-04-16T09:00:00Z,315,-958,-3230,3208,-2738,16231
2017-04-16T12:00:00Z,306,-957,-3226,3215,-2731,16243
2017-04-16T15:00:00Z,306,-951,-3226,3217,-2728,16251
2017-04-16T18:00:00Z,303,-962,-3217,3225,-2737,16235
2017-04-16T21:00:00Z,304,-951,-3222,3219,-2736,16217
2017-04-17T00:00:00Z,316,-959,-3220,3232,-2744,16243
2017-04-17T03:00:00Z,305,-961,-3226,3225,-2744,16226
2017-04-17T06:00:00Z,-60,-1163,-3143,3095,-2829,16244
2017-04-17T09:00:00Z,-70,-1173,-3151,3124,-2854,16205
2017-04-17T12:00:00Z,-66,-1168,-3136,3107,-2847,16230
2017-04-17T15:00:00Z,-63,-1163,-3136,3119,-2836,16255
2017-04-17T18:00:00Z,-73,-1170,-3129,3081,-2841,16264
2017-04-17T21:00:00Z,-62,-1167,-3136,3102,-2828,16230
2017-04-18T00:00:00Z,-69,-1168,-3146,3109,-2843,16223
2017-04-18T03:00:00Z,-67,-1169,-3145,3115,-2840,16212
2017-04-18T06:00:00Z,2021,-725,1523,-6988,6983,-10041
2017-04-18T09:00:00Z,1743,-420,-414,-15470,-4534,1154
2017-04-18T12:00:00Z,2025,1095,1006,-11030,-2480,-11693
2017-04-18T15:00:00Z,2004,1097,994,-11051,-2460,-11575
2017-04-18T18:00:00Z,1999,1090,988,-11084,-2485,-11523
2017-04-18T21:00:00Z,2002,1092,991,-11095,-2463,-11491
2017-04-19T00:00:00Z,2001,1089,991,-11107,-2468,-11481
2017-04-19T03:00:00Z,1997,1081,986,-11105,-2479,-11458
2017-04-19T06:00:00Z,806,-736,1293,-7194,3572,-13933
2017-04-19T09:00:00Z,794,-711,1278,-7226,3486,-13930
2017-04-19T12:00:00Z,762,-658,1221,-7181,2980,-14059
2017-04-19T15:00:00Z,763,-645,1217,-7212,2879,-14066
2017-04-19T18:00:00Z,766,-637,1217,-7224,2858,-14097
2017-04-19T21:00:00Z,777,-630,1188,-7262,2780,-14082
2017-04-20T00:00:00Z,770,-622,1194,-7270,2760,-14063
2017-04-20T03:00:00Z,770,-623,1193,-7274,2765,-14085
2017-04-20T06:00:00Z,777,-620,1203,-7277,2764,-14058
2017-04-20T09:00:00Z,-541,2725,-815,980,-14817,-5702
2017-04-20T12:00:00Z,1661,197,-4131,1347,4753,15498
2017-04-20T15:00:00Z,2072,2758,-1704,434,-15404,3932
2017-04-20T18:00:00Z,49,-3047,-3360,1595,5508,15515
2017-04-20T21:00:00Z,46,-3022,-3339,1537,5502,15630
2017-04-21T00:00:00Z,51,-3001,-3331,1526,5495,15645
2017-04-21T03:00:00Z,50,-3011,-3331,1520,5492,15633
2017-04-21T06:00:00Z,1915,582,-3420,3929,-5409,13475
2017-04-21T09:00:00Z,1182,-1584,-3877,3330,-200,16062
2017-04-21T12:00:00Z,1245,2915,112,-8361,-12846,-4106
2017-04-21T15:00:00Z,1292,1324,-797,1051,3370,13699
2017-04-21T18:00:00Z,-19,-2955,-3078,9638,12222,4207
2017-04-21T21:00:00Z,865,2215,-3951,2662,-6209,15176
2017-04-22T00:00:00Z,861,2210,-3961,2668,-6143,15205
2017-04-22T03:00:00Z,860,2198,-3961,2660,-6105,15216
2017-04-22T06:00:00Z,1291,2566,-4005,7348,-5703,13727
2017-04-22T09:00:00Z,1626,1768,-3421,1648,-4082,15896
2017-04-22T12:00:00Z,-98,-2079,1159,-3148,5751,-14415
2017-04-22T15:00:00Z,398,1797,-2256,1294,-746,16669
2017-04-22T18:00:00Z,-1473,-1082,-5501,1566,-105,16802
2017-04-22T21:00:00Z,-1467,-1100,-5529,1500,-45,16777
2017-04-23T00:00:00Z,-1460,-1108,-5531,1498,-31,16784
2017-04-23T03:00:00Z,-1457,-1112,-5558,1489,-40,16745
2017-04-23T06:00:00Z,268,-1168,-4310,3149,-2856,16228
2017-04-23T09:00:00Z,261,-1164,-4304,3168,-2877,16231
2017-04-23T12:00:00Z,270,-1160,-4304,3160,-2902,16235
2017-04-23T15:00:00Z,266,-1155,-4284,3152,-2901,16236
2017-04-23T18:00:00Z,262,-1150,-4284,3133,-2909,16244
2017-04-23T21:00:00Z,263,-1149,-4288,3145,-2912,16236
2017-04-24T00:00:00Z,260,-1153,-4294,3142,-2914,16226
2017-04-24T03:00:00Z,267,-1152,-4294,3138,-2925,16229
2017-04-24T06:00:00Z,270,-1153,-4301,3136,-2919,16245
2017-04-24T09:00:00Z,300,-1052,-3913,3167,-2932,16238
2017-04-24T12:00:00Z,300,-1057,-3921,3145,-2939,16239
2017-04-24T15:00:00Z,271,-1149,-4302,3119,-2924,16248
2017-04-24T18:00:00Z,307,-949,-3790,1825,-3452,16345
2017-04-24T21:00:00Z,301,-949,-3796,1816,-3451,16355
2017-04-25T00:00:00Z,306,-957,-3807,1815,-3443,16359
2017-04-25T03:00:00Z,303,-953,-3803,1817,-3440,16346
2017-04-25T06:00:00Z,304,-946,-3808,1816,-3444,16352
2017-04-25T09:00:00Z,307,-950,-3798,1806,-3426,16345
2017-04-25T12:00:00Z,306,-955,-3796,1806,-3427,16374
2017-04-25T15:00:00Z,301,-953,-3804,1809,-3428,16368
2017-04-25T18:00:00Z,310,-956,-3802,1813,-3420,16358
2017-04-25T21:00:00Z,308,-955,-3801,1789,-3439,16343
2017-04-26T00:00:00Z,309,-956,-3801,1804,-3433,16344
2017-04-26T03:00:00Z,310,-943,-3794,1807,-3433,16374
2017-04-26T06:00:00Z,306,-956,-3802,1793,-3437,16371
2017-04-26T09:00:00Z,307,-951,-3798,1801,-3447,16377
2017-04-26T12:00:00Z,309,-962,-3798,1791,-3439,16366
2017-04-26T15:00:00Z,265,-903,-3771,1793,-3372,16400
2017-04-26T18:00:00Z,261,-910,-3760,1783,-3395,16378
2017-04-26T21:00:00Z,260,-912,-3767,1777,-3384,16387
2017-04-27T00:00:00Z,253,-909,-3792,1806,-3396,16338
2017-04-27T03:00:00Z,262,-907,-3813,1807,-3397,16304
2017-04-27T06:00:00Z,251,-916,-3810,1829,-3389,16326
2017-04-27T09:00:00Z,262,-910,-3784,1802,-3378,16365
2017-04-27T12:00:00Z,263,-906,-3777,1799,-3373,16372
2017-04-27T15:00:00Z,258,-902,-3771,1789,-3385,16393
2017-04-27T18:00:00Z,262,-905,-3765,1792,-3359,16397
2017-04-27T21:00:00Z,310,-1020,-3729,1729,-2756,16529
2017-04-28T00:00:00Z,311,-1016,-3731,1736,-2743,16529
2017-04-28T03:00:00Z,303,-1019,-3730,1738,-2750,16514
2017-04-28T06:00:00Z,310,-1020,-3739,1744,-2743,16512
2017-04-28T09:00:00Z,304,-1024,-3744,1741,-2742,16527
2017-04-28T12:00:00Z,310,-1025,-3727,1748,-2737,16536
2017-04-28T15:00:00Z,311,-1027,-3729,1730,-2716,16541
2017-04-28T18:00:00Z,-870,-1393,-3306,-294,2096,16815
2017-04-28T21:00:00Z,502,-1839,699,-431,1809,-15809
2017-04-29T00:00:00Z,499,-1841,701,-450,1787,-15817
2017-04-29T03:00:00Z,504,-1846,694,-454,1771,-15812
2017-04-29T06:00:00Z,1399,4062,-364,7393,-3682,-13345
2017-04-29T09:00:00Z,-441,1240,-1336,2133,1160,-14653
2017-04-29T12:00:00Z,1795,-37,2620,-4664,3016,-15179
2017-04-29T15:00:00Z,1781,-31,2604,-4640,2966,-15139
2017-04-29T18:00:00Z,1771,-38,2608,-4632,2971,-15134
2017-04-29T21:00:00Z,1743,235,2435,-4532,2895,-15165
2017-04-30T00:00:00Z,1732,244,2399,-4504,2940,-15172
2017-04-30T03:00:00Z,1721,249,2398,-4510,2922,-15168
2017-04-30T06:00:00Z,1727,253,2390,-4489,2938,-15166
2017-04-30T09:00:00Z,1939,-369,2326,-4253,796,-15519
2017-04-30T12:00:00Z,1933,-362,2327,-4259,765,-15514
2017-04-30T15:00:00Z,1914,-376,2312,-4251,734,-15504
2017-04-30T18:00:00Z,1918,-377,2290,-4244,703,-15514
2017-04-30T21:00:00Z,1910,-383,2301,-4234,704,-15497
2017-05-01T00:00:00Z,1917,-381,2298,-4226,691,-15529
2017-05-01T03:00:00Z,1913,-379,2302,-4220,686,-15529
2017-05-01T06:00:00Z,1887,-394,2274,-4225,651,-15523
2017-05-01T09:00:00Z,1898,-390,2281,-4210,661,-15524
2017-05-01T12:00:00Z,1893,-390,2283,-4231,660,-15519
2017-05-01T15:00:00Z,1895,-385,2269,-4222,655,-15494
2017-05-01T18:00:00Z,1899,-387,2280,-4202,654,-15523
2017-05-01T21:00:00Z,1893,-388,2270,-4220,646,-15501
2017-05-02T00:00:00Z,1898,-390,2283,-4229,641,-15513
2017-05-02T03:00:00Z,1891,-386,2281,-4220,631,-15511
2017-05-02T06:00:00Z,1896,-389,2278,-4229,639,-15492
2017-05-02T09:00:00Z,1893,-376,2282,-4220,626,-15494
2017-05-02T12:00:00Z,1896,-380,2281,-4213,620,-15519
2017-05-02T15:00:00Z,1898,-382,2277,-4205,642,-15522
2017-05-02T18:00:00Z,1894,-379,2282,-4207,647,-15506
2017-05-02T21:00:00Z,1891,-375,2279,-4207,625,-15511
2017-05-03T00:00:00Z,1891,-384,2280,-4206,613,-15516
2017-05-03T03:00:00Z,1891,-379,2281,-4206,626,-15513
2017-05-03T06:00:00Z,1892,-382,2287,-4215,618,-15508
2017-05-03T09:00:00Z,1891,-381,2287,-4221,631,-15527
2017-05-03T12:00:00Z,1894,-381,2278,-4202,615,-15491
2017-05-03T15:00:00Z,1895,-372,2280,-4217,612,-15512
2017-05-03T18:00:00Z,1895,-380,2275,-4226,619,-15514
2017-05-03T21:00:00Z,1500,163,2257,-2712,2179,-15705
2017-05-04T00:00:00Z,1498,171,2256,-2699,2163,-15710
2017-05-04T03:00:00Z,1480,164,2247,-2699,2165,-15706
2017-05-04T06:00:00Z,3899,204,3238,-2735,1103,-16253
2017-05-04T09:00:00Z,2114,-2780,24,-866,12363,-10257
2017-05-04T12:00:00Z,170,-1310,828,-4554,3832,-15211
2017-05-04T15:00:00Z,189,-1250,721,-4724,3820,-14937
2017-05-04T18:00:00Z,2283,-972,1155,-1151,1509,-15973
2017-05-04T21:00:00Z,-1181,-612,-1116,4647,12983,8144
2017-05-05T00:00:00Z,-1199,-629,-1135,4721,12996,7932
2017-05-05T03:00:00Z,-1208,-638,-1153,4783,12970,7799
2017-05-05T06:00:00Z,1444,-1758,-3286,1908,18,16269
2017-05-05T09:00:00Z,-957,-1177,-3535,2581,1754,16585
2017-05-05T12:00:00Z,-1882,57,-645,12548,-524,-11209
2017-05-05T15:00:00Z,33,-1733,-3192,5437,846,15418
2017-05-05T18:00:00Z,1644,-809,-2126,1033,-467,16459
2017-05-05T21:00:00Z,1605,-795,-2075,914,-379,16679
2017-05-06T00:00:00Z,1601,-782,-2064,863,-383,16707
2017-05-06T03:00:00Z,1600,-788,-2060,857,-371,16742
