datetime,acceleration_x,acceleration_y,acceleration_z,magnetic_x,magnetic_y,magnetic_z
2018-04-15T00:00:00Z,1273,2358,1789,3002,1220,-15800
2018-04-15T03:00:00Z,1276,2350,1796,3007,1208,-15824
2018-04-15T06:00:00Z,1275,2367,1798,2999,1199,-15849
2018-04-15T09:00:00Z,1280,2360,1790,2987,1206,-15828
2018-04-15T12:00:00Z,1268,2362,1799,3013,1190,-15839
2018-04-15T15:00:00Z,1278,2356,1796,3021,1201,-15831
2018-04-15T18:00:00Z,1274,2352,1795,3008,1231,-15815
2018-04-15T21:00:00Z,1280,2360,1784,2992,1220,-15820
2018-04-16T00:00:00Z,1277,2363,1789,2997,1219,-15828
2018-04-16T03:00:00Z,1284,2383,1722,3004,1199,-15818
2018-04-16T06:00:00Z,1059,309,1001,10169,-459,-12881
2018-04-16T09:00:00Z,136,514,1928,2743,792,-15934
2018-04-16T12:00:00Z,127,510,1914,2734,811,-15912
2018-04-16T15:00:00Z,137,512,1925,2750,830,-15902
2018-04-16T18:00:00Z,134,511,1922,2746,817,-15890
2018-04-16T21:00:00Z,187,671,1997,2338,-190,-16034
2018-04-17T00:00:00Z,203,676,2000,2337,-193,-16020
2018-04-17T03:00:00Z,189,679,1997,2345,-213,-16029
2018-04-17T06:00:00Z,1149,2145,2238,2064,574,-16022
2018-04-17T09:00:00Z,1151,2141,2239,2058,582,-16009
2018-04-17T12:00:00Z,1139,2130,2227,2082,608,-15986
2018-04-17T15:00:00Z,1139,2130,2230,2074,619,-15967
2018-04-17T18:00:00Z,1134,2128,2225,2097,621,-15950
2018-04-17T21:00:00Z,1131,2130,2221,2121,620,-15951
2018-04-18T00:00:00Z,1125,2138,2220,2128,616,-15956
2018-04-18T03:00:00Z,1134,2138,2215,2151,601,-15971
2018-04-18T06:00:00Z,1075,2154,2199,2336,481,-15954
2018-04-18T09:00:00Z,1084,2159,2198,2325,473,-15964
2018-04-18T12:00:00Z,1080,2146,2201,2287,500,-15943
2018-04-18T15:00:00Z,1137,2144,2205,2303,668,-15870
2018-04-18T18:00:00Z,1134,2131,2217,2322,657,-15900
2018-04-18T21:00:00Z,1135,2140,2215,2319,641,-15918
2018-04-19T00:00:00Z,1137,2146,2216,2344,625,-15929
2018-04-19T03:00:00Z,1138,2158,2219,2348,621,-15918
2018-04-19T06:00:00Z,1130,2152,2221,2347,616,-15927
2018-04-19T09:00:00Z,1137,2150,2208,2329,634,-15927
2018-04-19T12:00:00Z,1135,2148,2202,2325,651,-15910
2018-04-19T15:00:00Z,3289,2480,-2527,-2337,-1098,16409
2018-04-19T18:00:00Z,2895,1728,-2300,-3247,4050,15721
2018-04-19T21:00:00Z,3283,2231,-1875,-5390,-70,15670
2018-04-20T00:00:00Z,3286,2227,-1888,-5375,-76,15664
2018-04-20T03:00:00Z,3292,2238,-1888,-5362,-96,15647
2018-04-20T06:00:00Z,3282,2229,-1893,-5348,-89,15667
2018-04-20T09:00:00Z,3286,2237,-1894,-5346,-93,15677
2018-04-20T12:00:00Z,3280,2226,-1894,-5360,-103,15658
2018-04-20T15:00:00Z,3183,2031,-2054,-4339,1180,15968
2018-04-20T18:00:00Z,3200,2035,-2046,-4360,1164,15965
2018-04-20T21:00:00Z,3073,2103,-2072,-4214,1111,15969
2018-04-21T00:00:00Z,3077,2103,-2078,-4224,1119,15995
2018-04-21T03:00:00Z,3077,2100,-2075,-4204,1124,15988
2018-04-21T06:00:00Z,3105,2111,-2103,-4171,1065,15930
2018-04-21T09:00:00Z,3087,2106,-2087,-4198,1102,15954
2018-04-21T12:00:00Z,3091,2119,-2086,-4195,1108,15982
2018-04-21T15:00:00Z,3083,2103,-2090,-4202,1130,15977
2018-04-21T18:00:00Z,3087,2100,-2092,-4204,1132,15993
2018-04-21T21:00:00Z,3078,2106,-2075,-4191,1137,15975
2018-04-22T00:00:00Z,3079,2103,-2082,-4172,1139,15992
2018-04-22T03:00:00Z,3075,2105,-2074,-4174,1135,15998
2018-04-22T06:00:00Z,3079,2106,-2081,-4170,1152,15973
2018-04-22T09:00:00Z,3074,2105,-2085,-4156,1138,15972
2018-04-22T12:00:00Z,3076,2107,-2078,-4180,1135,15990
2018-04-22T15:00:00Z,2935,2243,-2071,-3788,388,16116
2018-04-22T18:00:00Z,2941,2252,-2063,-3778,373,16139
2018-04-22T21:00:00Z,2944,2255,-2066,-3788,368,16137
2018-04-23T00:00:00Z,2950,2248,-2062,-3789,349,16136
