datetime,acceleration_x,acceleration_y,acceleration_z,magnetic_x,magnetic_y,magnetic_z
2018-04-15T00:00:00Z,1087,2744,2064,4372,1266,-14311
2018-04-15T03:00:00Z,1085,2744,2075,4359,1274,-14308
2018-04-15T06:00:00Z,1087,2747,2069,4389,1276,-14355
2018-04-15T09:00:00Z,1091,2759,2062,4358,1268,-14349
2018-04-15T12:00:00Z,1092,2746,2075,4362,1260,-14359
2018-04-15T15:00:00Z,1090,2746,2065,4380,1268,-14331
2018-04-15T18:00:00Z,1084,2735,2058,4381,1270,-14284
2018-04-15T21:00:00Z,1086,2739,2063,4386,1252,-14319
2018-04-16T00:00:00Z,1096,2743,2059,4376,1262,-14341
2018-04-16T03:00:00Z,1105,2760,2002,4376,1268,-14335
2018-04-16T06:00:00Z,1224,400,1178,11248,565,-11005
2018-04-16T09:00:00Z,-124,977,2235,4061,949,-14549
2018-04-16T12:00:00Z,-126,970,2224,4057,945,-14517
2018-04-16T15:00:00Z,-120,960,2225,4068,953,-14497
2018-04-16T18:00:00Z,-126,969,2219,4050,948,-14515
2018-04-16T21:00:00Z,-79,1129,2305,3620,-10,-14697
2018-04-17T00:00:00Z,-72,1126,2298,3630,-27,-14723
2018-04-17T03:00:00Z,-74,1128,2303,3630,-27,-14728
2018-04-17T06:00:00Z,826,2523,2566,3394,786,-14718
2018-04-17T09:00:00Z,821,2515,2563,3402,789,-14683
2018-04-17T12:00:00Z,811,2514,2559,3426,789,-14621
2018-04-17T15:00:00Z,811,2503,2563,3421,779,-14594
2018-04-17T18:00:00Z,796,2499,2555,3444,784,-14552
2018-04-17T21:00:00Z,803,2501,2555,3437,790,-14601
2018-04-18T00:00:00Z,810,2518,2559,3471,790,-14622
2018-04-18T03:00:00Z,811,2511,2561,3464,799,-14648
2018-04-18T06:00:00Z,759,2533,2542,3645,650,-14606
2018-04-18T09:00:00Z,763,2540,2547,3612,657,-14677
2018-04-18T12:00:00Z,763,2530,2531,3589,648,-14579
2018-04-18T15:00:00Z,807,2520,2544,3655,771,-14511
2018-04-18T18:00:00Z,815,2523,2548,3646,781,-14529
2018-04-18T21:00:00Z,815,2526,2545,3656,788,-14553
2018-04-19T00:00:00Z,820,2527,2553,3661,785,-14554
2018-04-19T03:00:00Z,819,2531,2555,3653,792,-14607
2018-04-19T06:00:00Z,816,2532,2548,3662,801,-14615
2018-04-19T09:00:00Z,814,2529,2553,3655,775,-14572
2018-04-19T12:00:00Z,814,2521,2541,3643,780,-14519
2018-04-19T15:00:00Z,3950,2442,-2332,-3242,-2331,16588
2018-04-19T18:00:00Z,3261,2261,-1374,-3852,2726,16210
2018-04-19T21:00:00Z,3561,2709,-881,-5978,-1346,15738
2018-04-20T00:00:00Z,3558,2710,-883,-6013,-1343,15745
2018-04-20T03:00:00Z,3568,2717,-885,-5986,-1328,15736
2018-04-20T06:00:00Z,3567,2714,-891,-5981,-1358,15742
2018-04-20T09:00:00Z,3571,2717,-886,-5976,-1349,15740
2018-04-20T12:00:00Z,3558,2711,-891,-5979,-1363,15753
2018-04-20T15:00:00Z,3461,2530,-1058,-4964,-157,16175
2018-04-20T18:00:00Z,3457,2543,-1053,-4957,-173,16173
