datetime,acceleration_x,acceleration_y,acceleration_z,magnetic_x,magnetic_y,magnetic_z
2019-04-15T00:00:00Z,-85,251,2733,-12726,1698,-9154
2019-04-15T03:00:00Z,-93,257,2740,-12692,1691,-9143
2019-04-15T06:00:00Z,-1620,3096,-773,2394,12385,11036
2019-04-15T09:00:00Z,-914,-1613,-1476,5054,14348,4925
2019-04-15T12:00:00Z,-376,3948,1771,-442,-16233,2888
2019-04-15T15:00:00Z,-919,5070,-1491,6845,-11317,9776
2019-04-15T18:00:00Z,-3163,1921,-2240,6637,-11489,9780
2019-04-15T21:00:00Z,-3139,1888,-2239,6663,-11402,9867
2019-04-16T00:00:00Z,-3144,1873,-2245,6671,-11383,9904
2019-04-16T03:00:00Z,-3143,1872,-2244,6675,-11370,9931
2019-04-16T06:00:00Z,-2063,771,112,9843,-7772,7215
2019-04-16T09:00:00Z,-2452,3060,-1610,4678,-14324,6649
2019-04-16T12:00:00Z,-3232,801,-1047,11217,-5780,10331
2019-04-16T15:00:00Z,-2097,-774,-2192,7570,13247,4661
2019-04-16T18:00:00Z,-2061,1166,-2124,11984,-2763,10652
2019-04-16T21:00:00Z,-2063,1157,-2114,12004,-2764,10668
2019-04-17T00:00:00Z,-2061,1162,-2113,12019,-2765,10660
2019-04-17T03:00:00Z,-2066,1166,-2119,12031,-2756,10666
2019-04-17T06:00:00Z,-1692,895,3422,12049,10630,3388
2019-04-17T09:00:00Z,-7111,-6743,1625,-3126,15614,486
2019-04-17T12:00:00Z,-7127,-7090,1866,-3440,15522,-301
2019-04-17T15:00:00Z,-466,-154,654,2371,7057,14575
2019-04-17T18:00:00Z,1530,-115,-334,-12940,9373,1721
2019-04-17T21:00:00Z,1525,-108,-348,-12934,9345,1779
2019-04-18T00:00:00Z,1515,-112,-378,-12907,9373,1931
2019-04-18T03:00:00Z,1510,-120,-382,-12921,9377,1926
2019-04-18T06:00:00Z,-1891,2781,6809,-15652,3754,-804
2019-04-18T09:00:00Z,-238,-2130,100,2560,15661,130
2019-04-18T12:00:00Z,-988,-2331,-470,-6853,14212,2432
2019-04-18T15:00:00Z,-2356,2007,216,14716,-5690,3167
2019-04-18T18:00:00Z,-2287,-1834,-966,-7248,13397,-4228
2019-04-18T21:00:00Z,-1887,4530,1560,13252,5590,7751
2019-04-19T00:00:00Z,-2733,-2324,-333,13245,3365,8523
2019-04-19T03:00:00Z,-2740,-2316,-339,13262,3262,8530
2019-04-19T06:00:00Z,-3398,-2108,-1429,1177,16995,1740
