"series","timestamp","value","label"
"Rise","2017-04-21T04:10:00Z",250.25,"1"
"Set","2017-04-21T18:45:00Z",1125.25,"1"
"Rise","2017-04-22T04:10:00Z",250.25,"1"
"Set","2017-04-22T18:50:00Z",1130.25,"1"
"Rise","2017-04-23T03:55:00Z",235.25,"1"
"Set","2017-04-23T18:50:00Z",1130.25,"1"
"Rise","2017-04-24T03:55:00Z",235.25,"1"
"Set","2017-04-24T18:55:00Z",1135.25,"1"
"Rise","2017-04-25T04:00:00Z",240.25,"1"
"Set","2017-04-25T18:50:00Z",1130.25,"1"
"Rise","2017-04-26T03:55:00Z",235.25,"1"
"Set","2017-04-26T18:55:00Z",1135.25,"1"
"Rise","2017-04-27T04:00:00Z",240.25,"1"
"Set","2017-04-27T18:35:00Z",1115.25,"1"
"Rise","2017-04-28T04:15:00Z",255.25,"1"
"Set","2017-04-28T18:50:00Z",1130.25,"1"
"Rise","2017-04-29T03:55:00Z",235.25,"1"
"Set","2017-04-29T18:50:00Z",1130.25,"1"
"Rise","2017-04-30T03:55:00Z",235.25,"1"
"Set","2017-04-30T19:00:00Z",1140.25,"1"
"Rise","2017-05-01T04:05:00Z",245.25,"1"
"Set","2017-05-01T19:05:00Z",1145.25,"1"
"Rise","2017-05-02T03:50:00Z",230.25,"1"
"Set","2017-05-02T19:05:00Z",1145.25,"1"
"Rise","2017-05-03T03:50:00Z",230.25,"1"
"Set","2017-05-03T19:00:00Z",1140.25,"1"
"Rise","2017-05-04T04:00:00Z",240.25,"1"
"Set","2017-05-04T19:05:00Z",1145.25,"1"
"Rise","2017-05-05T03:40:00Z",220.25,"1"
"Set","2017-05-05T19:10:00Z",1150.25,"1"
"Rise","2017-05-06T04:05:00Z",245.25,"1"
"Set","2017-05-06T19:10:00Z",1150.25,"1"
"Rise","2017-05-07T03:50:00Z",230.25,"1"
"Set","2017-05-07T19:10:00Z",1150.25,"1"
"Rise","2017-05-08T03:55:00Z",235.25,"1"
"Set","2017-05-08T19:15:00Z",1155.25,"1"
"Rise","2017-05-09T03:35:00Z",215.25,"1"
"Set","2017-05-09T19:10:00Z",1150.25,"1"
"Rise","2017-05-10T03:35:00Z",215.25,"1"
"Set","2017-05-10T19:15:00Z",1155.25,"1"
