series,timestamp,value,label
Rise,2017-05-16T03:10:00.000Z,190.083333333333,1
Set,2017-05-16T19:30:00.000Z,1170.08333333333,1
Rise,2017-05-17T03:15:00.000Z,195.083333333333,1
Set,2017-05-17T19:30:00.000Z,1170.08333333333,1
Rise,2017-05-18T03:25:00.000Z,205.083333333333,1
Set,2017-05-18T19:25:00.000Z,1165.08333333333,1
Rise,2017-05-19T03:30:00.000Z,210.083333333333,1
Set,2017-05-19T19:30:00.000Z,1170.08333333333,1
Rise,2017-05-20T03:20:00.000Z,200.083333333333,1
Set,2017-05-20T19:35:00.000Z,1175.08333333333,1
Rise,2017-05-21T03:20:00.000Z,200.083333333333,1
Set,2017-05-21T19:35:00.000Z,1175.08333333333,1
Rise,2017-05-22T03:20:00.000Z,200.083333333333,1
Set,2017-05-22T19:35:00.000Z,1175.08333333333,1
Rise,2017-05-23T03:10:00.000Z,190.083333333333,1
Set,2017-05-23T19:35:00.000Z,1175.08333333333,1
Rise,2017-05-24T03:20:00.000Z,200.083333333333,1
Set,2017-05-24T19:30:00.000Z,1170.08333333333,1
Rise,2017-05-25T03:10:00.000Z,190.083333333333,1
Set,2017-05-25T19:40:00.000Z,1180.08333333333,1
Rise,2017-05-26T03:15:00.000Z,195.083333333333,1
Set,2017-05-26T19:45:00.000Z,1185.08333333333,1
Rise,2017-05-27T03:05:00.000Z,185.083333333333,1
Set,2017-05-27T19:40:00.000Z,1180.08333333333,1
Rise,2017-05-28T03:20:00.000Z,200.083333333333,1
Set,2017-05-28T19:35:00.000Z,1175.08333333333,1
Rise,2017-05-29T03:05:00.000Z,185.083333333333,1
Set,2017-05-29T19:35:00.000Z,1175.08333333333,1
Rise,2017-05-30T03:10:00.000Z,190.083333333333,1
Set,2017-05-30T19:35:00.000Z,1175.08333333333,1
Rise,2017-05-31T03:20:00.000Z,200.083333333333,1
Set,2017-05-31T19:35:00.000Z,1175.08333333333,1
Rise,2017-06-01T03:15:00.000Z,195.083333333333,1
