"series","timestamp","value","label"
"Rise","2019-05-03T03:50:00Z",230.25,"1"
"Set","2019-05-03T19:05:00Z",1145.25,"1"
"Rise","2019-05-04T03:40:00Z",220.25,"1"
"Set","2019-05-04T19:00:00Z",1140.25,"1"
"Rise","2019-05-05T03:50:00Z",230.25,"1"
"Set","2019-05-05T18:55:00Z",1135.25,"1"
"Rise","2019-05-06T03:40:00Z",220.25,"1"
"Set","2019-05-06T19:10:00Z",1150.25,"1"
"Rise","2019-05-07T03:20:00Z",200.25,"1"
"Set","2019-05-07T19:10:00Z",1150.25,"1"
"Rise","2019-05-08T03:40:00Z",220.25,"1"
"Set","2019-05-08T19:00:00Z",1140.25,"1"
"Rise","2019-05-09T03:25:00Z",205.25,"1"
"Set","2019-05-09T19:05:00Z",1145.25,"1"
"Rise","2019-05-10T03:25:00Z",205.25,"1"
"Set","2019-05-10T19:10:00Z",1150.25,"1"
"Rise","2019-05-11T03:30:00Z",210.25,"1"
"Set","2019-05-11T19:05:00Z",1145.25,"1"
"Rise","2019-05-12T03:25:00Z",205.25,"1"
"Set","2019-05-12T19:15:00Z",1155.25,"1"
"Rise","2019-05-13T03:20:00Z",200.25,"1"
"Set","2019-05-13T19:20:00Z",1160.25,"1"
"Rise","2019-05-14T03:15:00Z",195.25,"1"
"Set","2019-05-14T19:30:00Z",1170.25,"1"
"Rise","2019-05-15T03:15:00Z",195.25,"1"
"Set","2019-05-15T19:15:00Z",1155.25,"1"
"Rise","2019-05-16T03:15:00Z",195.25,"1"
"Set","2019-05-16T19:20:00Z",1160.25,"1"
"Rise","2019-05-17T03:20:00Z",200.25,"1"
"Set","2019-05-17T19:25:00Z",1165.25,"1"
"Rise","2019-05-18T03:20:00Z",200.25,"1"
"Set","2019-05-18T19:25:00Z",1165.25,"1"
"Rise","2019-05-19T03:25:00Z",205.25,"1"
"Set","2019-05-19T19:30:00Z",1170.25,"1"
"Rise","2019-05-20T03:15:00Z",195.25,"1"
"Set","2019-05-20T19:30:00Z",1170.25,"1"
"Rise","2019-05-21T03:10:00Z",190.25,"1"
"Set","2019-05-21T19:35:00Z",1175.25,"1"
"Rise","2019-05-22T03:05:00Z",185.25,"1"
"Set","2019-05-22T19:35:00Z",1175.25,"1"
"Rise","2019-05-23T03:00:00Z",180.25,"1"
"Set","2019-05-23T19:35:00Z",1175.25,"1"
"Rise","2019-05-24T03:00:00Z",180.25,"1"
"Set","2019-05-24T19:35:00Z",1175.25,"1"
"Rise","2019-05-25T03:15:00Z",195.25,"1"
"Set","2019-05-25T19:30:00Z",1170.25,"1"
"Rise","2019-05-26T03:00:00Z",180.25,"1"
"Set","2019-05-26T19:40:00Z",1180.25,"1"
"Rise","2019-05-27T03:00:00Z",180.25,"1"
"Set","2019-05-27T19:30:00Z",1170.25,"1"
"Rise","2019-05-28T03:05:00Z",185.25,"1"
"Set","2019-05-28T19:30:00Z",1170.25,"1"
"Rise","2019-05-29T03:05:00Z",185.25,"1"
"Set","2019-05-29T19:30:00Z",1170.25,"1"
"Rise","2019-05-30T02:50:00Z",170.25,"1"
"Set","2019-05-30T19:40:00Z",1180.25,"1"
"Rise","2019-05-31T03:00:00Z",180.25,"1"
"Set","2019-05-31T19:35:00Z",1175.25,"1"
"Rise","2019-06-01T02:50:00Z",170.25,"1"
"Set","2019-06-01T19:45:00Z",1185.25,"1"
"Rise","2019-06-02T02:55:00Z",175.25,"1"
"Set","2019-06-02T19:40:00Z",1180.25,"1"
"Rise","2019-06-03T03:05:00Z",185.25,"1"
"Set","2019-06-03T19:40:00Z",1180.25,"1"
"Rise","2019-06-04T02:55:00Z",175.25,"1"
"Set","2019-06-04T19:40:00Z",1180.25,"1"
"Rise","2019-06-05T03:00:00Z",180.25,"1"
"Set","2019-06-05T19:45:00Z",1185.25,"1"
"Rise","2019-06-06T02:50:00Z",170.25,"1"
"Set","2019-06-06T19:40:00Z",1180.25,"1"
"Rise","2019-06-07T02:55:00Z",175.25,"1"
"Set","2019-06-07T19:40:00Z",1180.25,"1"
"Rise","2019-06-08T03:05:00Z",185.25,"1"
"Set","2019-06-08T19:35:00Z",1175.25,"1"
"Rise","2019-06-09T02:55:00Z",175.25,"1"
"Set","2019-06-09T19:40:00Z",1180.25,"1"
"Rise","2019-06-10T03:05:00Z",185.25,"1"
"Set","2019-06-10T19:15:00Z",1155.25,"1"
"Rise","2019-06-11T02:50:00Z",170.25,"1"
"Set","2019-06-11T19:40:00Z",1180.25,"1"
"Rise","2019-06-12T03:00:00Z",180.25,"1"
"Set","2019-06-12T19:35:00Z",1175.25,"1"
"Rise","2019-06-13T03:05:00Z",185.25,"1"
"Set","2019-06-13T19:50:00Z",1190.25,"1"
"Rise","2019-06-14T03:00:00Z",180.25,"1"
"Set","2019-06-14T19:35:00Z",1175.25,"1"
"Rise","2019-06-15T03:00:00Z",180.25,"1"
"Set","2019-06-15T19:55:00Z",1195.25,"1"
"Rise","2019-06-16T03:05:00Z",185.25,"1"
"Set","2019-06-16T19:45:00Z",1185.25,"1"
"Rise","2019-06-17T03:00:00Z",180.25,"1"
"Set","2019-06-17T19:50:00Z",1190.25,"1"
"Rise","2019-06-18T02:55:00Z",175.25,"1"
"Set","2019-06-18T19:40:00Z",1180.25,"1"
"Rise","2019-06-19T03:00:00Z",180.25,"1"
"Set","2019-06-19T20:00:00Z",1200.25,"1"
"Rise","2019-06-20T02:55:00Z",175.25,"1"
"Set","2019-06-20T19:50:00Z",1190.25,"1"
"Rise","2019-06-21T02:55:00Z",175.25,"1"
"Set","2019-06-21T19:35:00Z",1175.25,"1"
"Rise","2019-06-22T03:05:00Z",185.25,"1"
"Set","2019-06-22T19:50:00Z",1190.25,"1"
"Rise","2019-06-23T02:55:00Z",175.25,"1"
"Set","2019-06-23T19:55:00Z",1195.25,"1"
"Rise","2019-06-24T02:55:00Z",175.25,"1"
"Set","2019-06-24T19:55:00Z",1195.25,"1"
"Rise","2019-06-25T03:00:00Z",180.25,"1"
"Set","2019-06-25T20:00:00Z",1200.25,"1"
"Rise","2019-06-26T03:00:00Z",180.25,"1"
"Set","2019-06-26T19:55:00Z",1195.25,"1"
"Rise","2019-06-27T02:50:00Z",170.25,"1"
"Set","2019-06-27T20:00:00Z",1200.25,"1"
"Rise","2019-06-28T03:00:00Z",180.25,"1"
"Set","2019-06-28T19:55:00Z",1195.25,"1"
"Rise","2019-06-29T03:00:00Z",180.25,"1"
"Set","2019-06-29T19:55:00Z",1195.25,"1"
"Rise","2019-06-30T03:00:00Z",180.25,"1"
"Set","2019-06-30T19:50:00Z",1190.25,"1"
"Rise","2019-07-01T03:20:00Z",200.25,"1"
"Set","2019-07-01T19:50:00Z",1190.25,"1"
"Rise","2019-07-02T03:05:00Z",185.25,"1"
"Set","2019-07-02T19:40:00Z",1180.25,"1"
"Rise","2019-07-03T03:20:00Z",200.25,"1"
"Set","2019-07-03T19:55:00Z",1195.25,"1"
"Rise","2019-07-04T03:10:00Z",190.25,"1"
"Set","2019-07-04T19:50:00Z",1190.25,"1"
"Rise","2019-07-05T03:00:00Z",180.25,"1"
"Set","2019-07-05T19:55:00Z",1195.25,"1"
"Rise","2019-07-06T03:20:00Z",200.25,"1"
"Set","2019-07-06T19:45:00Z",1185.25,"1"
"Rise","2019-07-07T03:15:00Z",195.25,"1"
"Set","2019-07-07T19:35:00Z",1175.25,"1"
